Booking_id,booking_Date,Customer_id,age,Sex,Martial_status,Family_members,Infants,Occupation,State,City,Departure_date,Previous_trip_history,Trip_type,Purpose_of_Trip,Mode_of_transport,Payment_method,Total_spend_per_customer,Satisfaction_score,Destination_Place,Hotel_name,Hotel_rating,Days_of_stay,No._of_places_visited,Cab_services,Booking_channel,Meal_preference
1403,30-12-2022,851039,36,Male,Married,3,1,Students,Andhra Pradesh,Ongole,27-01-2023,No,One_way,Education,Bus,Cash,94010,8,Cochin, Taj Exotica Resort & Spa           ,7,4,1,No,Mobile Apps,No
1355,25-02-2022,773431,32,Female,Married,2,1,IT,Andhra Pradesh,Rajahmundry,25-03-2022,Yes,One_way,Business,Ship,Cash,146904,10,Coorg," Wildflower Hall, An Oberoi Resort  ",7,3,4,Yes,Mobile Apps,No
2120,16-02-2021,702834,28,Female,Married,5,1,Government-sector,Andhra Pradesh,Nandyal,16-03-2021,No,Multi_city,Business,Ship,Debit_card,128101,6,Varanasi, Rambagh Palace                     ,9,3,3,No,Mobile Apps,Yes
1750,13-12-2022,606722,46,Female,Married,3,1,IT,Andhra Pradesh,Gudur,10-01-2023,No,Round_trip,Adventure,Bus,Cash,128147,8,Shimla, The Oberoi Udaivilas               ,6,3,4,No,Hotel Websites,Yes
2133,30-05-2023,733583,73,Female,Married,3,1,Government-sector,Andhra Pradesh,Tirupati,27-06-2023,Yes,One_way,Leisure,Aeroplane,Credit_card,116809,10,Amritsar, The Oberoi Amarvilas               ,10,1,1,No,Meta-Search Engines,No
1730,30-03-2021,704382,29,Female,Married,4,0,Finance,Andhra Pradesh,Gudur,27-04-2021,Yes,One_way,Leisure,Bus,Debit_card,143000,10,Amritsar, Taj Nadesar Palace                 ,8,1,1,Yes,Hotel Websites,Yes
1220,29-07-2021,889245,67,Male,Married,6,1,Finance,Andhra Pradesh,Vijayawada,26-08-2021,Yes,Multi_city,Leisure,Aeroplane,Cash,80471,10,Madurai, Windermere Estate                  ,8,2,2,No,Hotel Websites,No
1458,02-05-2020,667984,54,Male,Married,3,1,Government-sector,Andhra Pradesh,Tadipatri,30-05-2020,Yes,Multi_city,Business,Aeroplane,Credit_card,136252,9,Srinagar, Ananda in the Himalayas            ,9,2,3,Yes,Meta-Search Engines,No
2128,22-08-2021,655061,76,Male,Married,3,0,Arts,Andhra Pradesh,Peddapuram,19-09-2021,No,Multi_city,Adventure,Aeroplane,Cash,83973,7,Mahabalipuram, Savoy - IHCL SeleQtions            ,7,1,2,Yes,Mobile Apps,No
1977,30-09-2022,825293,62,Female,Married,3,1,IT,Andhra Pradesh,Peddapuram,28-10-2022,Yes,Round_trip,Business,Bus,Cash,88943,7,Goa, Mayfair Darjeeling                 ,9,2,4,No,Online Travel Agencies,No
1136,27-06-2022,631073,31,Female,Married,5,0,Students,Andhra Pradesh,Adoni,25-07-2022,No,Round_trip,Education,Bus,Credit_card,75579,6,Cochin, Suryagarh                          ,7,2,2,No,Meta-Search Engines,No
